Date,Time,Sym,Market,Reason Code,Res DT,Res QT TM,Res TRD TM,Vol,Flt Sht,Days,Price,M Cap M
2021-07-06,11:09:41,MDLQ,NYSE,T1,,,,NA,NA,NA,NA,NA
2021-07-06,11:09:41,MDLX,NYSE,T1,,,,NA,NA,NA,NA,NA
2021-07-06,11:09:41,MDLY,NYSE,T1,,,,158,0.04,23,5,40
2021-07-13,13:43:54,IMTE,NASDAQ,LUDP,07/13/2021,13:43:54,13:48:54,16448,0.06,0,5,42
2021-07-06,10:30:30,AGBAU,NASDAQ,LUDP,07/06/2021,10:30:30,10:35:30,NA,NA,NA,NA,NA
2021-07-06,09:55:12,HIHO,NASDAQ,LUDP,07/06/2021,09:55:12,10:00:12,14,0.0,138,3,14
2021-09-01,09:38:19,SQBG,NASDAQ,LUDP,09/01/2021,09:38:19,09:43:19,2730,0.11,0,99999,7
2021-07-06,09:45:52,SQBG,NASDAQ,LUDP,07/06/2021,09:45:52,09:50:52,128,0.14,5,8,13
2021-07-14,14:36:35,TPST,NASDAQ,LUDP,07/14/2021,14:36:35,14:41:35,5144,NA,0,22,99
2021-07-06,09:35:26,SQBG,NASDAQ,LUDP,07/06/2021,09:35:26,09:45:26,128,0.14,5,8,13
2021-07-06,09:30:41,CORN,NYSE Arca,M,07/06/2021,09:35:41,09:35:41,NA,NA,NA,NA,NA
2021-07-06,06:55:15,PRVB,NASDAQ,T1T2T3,07/06/2021,07:25:00,07:30:00,1196,0.12,34,8,529
2021-07-07,10:36:06,IPW,NASDAQ,LUDP,07/07/2021,10:36:06,10:41:06,169,0.0,47,5,156
2021-08-05,14:50:29,NEGG,NASDAQ,LUDP,08/05/2021,14:50:29,14:55:29,6282,NA,0,20,8840
2021-09-14,04:00:01,VRPX,NASDAQ,T1T2T3,09/14/2021,09:45:00,09:50:00,3513,0.12,0,6,41
2021-07-07,09:47:07,BON,NASDAQ,LUDP,07/07/2021,09:47:07,10:15:30,NA,NA,NA,NA,NA
2021-08-13,10:32:52,GRNVU,NASDAQ,LUDP,08/13/2021,10:32:52,10:37:52,NA,NA,NA,NA,NA
2021-07-07,10:38:52,JWEL,NASDAQ,LUDP,07/07/2021,10:38:52,10:43:52,32,0.0,623,6,164
2021-07-07,10:43:04,GMVD,NASDAQ,LUDP,07/07/2021,10:43:04,10:48:04,NA,NA,NA,NA,NA
2021-09-09,11:16:09,AVCT,NASDAQ,LUDP,09/09/2021,11:16:09,11:26:10,3761,0.07,1,3,71
2021-09-21,14:01:17,ENSC,NASDAQ,LUDP,09/21/2021,14:01:17,14:11:18,NA,NA,NA,NA,NA
