"entry_id","entry_date","distributor_code","story_id","timestamp","headline","symbol_1","symbol_2","symbol_3","symbol_4","symbol_5","symbol_6","symbol_7","symbol_8","symbol_9","symbol_10","url"
39815,"2021-09-27","CPR",22468840313,"2021-09-27 00:01:53","Egypt's Ministry of Supply and Internal Trade Automates Wheat Silos Processes ","IBM",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"192.168.68.204/22468840313.html"
39816,"2021-09-27","RTK",22468843370,"2021-09-27 00:22:16","Japan Aug Corporate Services Price Index Up 1% On Year Vs. ...","JPY",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"192.168.68.204/22468843370.html"
39817,"2021-09-27","RTB",22468843415,"2021-09-27 00:23:23","IBM Collaborates With ACME SAICO Announce Automation Of 22 ...","IBM",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"192.168.68.204/22468843415.html"
39818,"2021-09-27","RTB",22468848242,"2021-09-27 00:24:33","Eurozone Monetary Aggregates Data Due At 4.00 AM ET","EUR",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"192.168.68.204/22468848242.html"
39819,"2021-09-27","RTB",22468848255,"2021-09-27 00:24:53","Bundesbank Monthly Report Due At 6.00 AM ET","EUR",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"192.168.68.204/22468848255.html"
39820,"2021-09-27","RTB",22468848270,"2021-09-27 00:25:13","ECB Chief Lagarde To Speak At 7.45 AM ET","EUR",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"192.168.68.204/22468848270.html"
39821,"2021-09-27","CBW",22468851921,"2021-09-27 00:45:23","BIOCORP and NOVO NORDISK Sign Global Partnership Within Diabetes on...","ALCOR",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"192.168.68.204/22468851921.html"
39822,"2021-09-27","RTB",22468852023,"2021-09-27 00:50:43","BIOCORP, NOVO NORDISK Sign Partnership For Development Of M...","nvo",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"192.168.68.204/22468852023.html"
39823,"2021-09-27","CBW",22468852209,"2021-09-27 01:00:23","Transplant Genomics Launches OmniGraf(tm), the Only Combination Bio...","ERF",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"192.168.68.204/22468852209.html"
39824,"2021-09-27","CPZ",22468852207,"2021-09-27 01:00:23","Santhera Completes Subsequent Capital Increase for Financing Arrang...","SANN",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"192.168.68.204/22468852207.html"
39825,"2021-09-27","CBW",22468852210,"2021-09-27 01:00:23","CIBC Innovation Banking Expands to the UK with Opening of London Of...","CM",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"192.168.68.204/22468852210.html"
39826,"2021-09-27","CPZ",22468852208,"2021-09-27 01:00:23","Bonduelle - 2020-2021 Annual Results: Business activity and profita...","BON",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"192.168.68.204/22468852208.html"
39827,"2021-09-27","RTB",22468852363,"2021-09-27 01:03:34","CIBC Innovation Banking Announces Opening Of New Office In ...","CM",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"192.168.68.204/22468852363.html"
39828,"2021-09-27","RTB",22468852365,"2021-09-27 01:03:44","Transplant Genomics Launches OmniGraf","ERF",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"192.168.68.204/22468852365.html"
39829,"2021-09-27","CPZ",22468852420,"2021-09-27 01:05:28","ReveraGen and Santhera Announce FDA Orphan Grant Funding for Clinic...","SANN",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"192.168.68.204/22468852420.html"
39830,"2021-09-27","RTK",22468852423,"2021-09-27 01:05:34","Finland Sept Consumer Confidence 6.0 Vs. 4.0 In August","EUR",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"192.168.68.204/22468852423.html"
39831,"2021-09-27","RTK",22468852441,"2021-09-27 01:07:04","Japan Jul Leading Index 104.1 Vs. 104.2 In June","JPY",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"192.168.68.204/22468852441.html"
39832,"2021-09-27","RTK",22468852482,"2021-09-27 01:07:44","Japan Jul Coincident Index 94.4 Vs. 94.6 In June","JPY",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"192.168.68.204/22468852482.html"
